target,status,elapsed_seconds,coverage,corpus_size,executions,crashes
cpp_plugin,CRASH,104,,,0,0
c_plugin,CRASH,104,,,,0
haskell_plugin,CRASH,104,,,,0
csharp_plugin,CRASH,104,,,,0
go_plugin,CRASH,104,,,,0
elixir_plugin,CRASH,104,,,,0
html_plugin,CRASH,104,,,,0
groovy_plugin,CRASH,104,,,,0
dart_plugin,CRASH,104,,,,0
css_plugin,CRASH,105,,,,0
java_plugin,CRASH,1,,,,0
javascript_plugin,CRASH,1,,,,0
kotlin_plugin,CRASH,1,,,,0
lua_plugin,CRASH,1,,,,0
oracle_plsql_plugin,CRASH,1,,,,0
perl_plugin,CRASH,1,,,,0
php_plugin,CRASH,1,,,,0
puppet_plugin,CRASH,1,,,,0
python_plugin,CRASH,1,,,,0
r_plugin,CRASH,0,,,,0
ruby_plugin,CRASH,0,,,,0
rust_plugin,CRASH,0,,,,0
salesforce_apex_plugin,CRASH,1,,,,0
sap_abap_plugin,CRASH,1,,,,0
scala_plugin,CRASH,1,,,,0
shell_plugin,CRASH,1,,,,0
servicenow_xanadu_plugin,CRASH,1,,,,0
sql_plugin,CRASH,1,,,,0
svelte_plugin,CRASH,1,,,,0
swift_plugin,CRASH,1,,,,0
terraform_plugin,CRASH,1,,,,0
typescript_plugin,CRASH,1,,,,0
vue_plugin,CRASH,0,,,,0
zig_plugin,CRASH,0,,,,0
unified_parser,CRASH,1906,6499,7042,12,0
query_parser,CRASH,1907,5831,3190,1008176,0
fuzz_target_1,CRASH,1801,6,1,7139906362,0
